Ana Kamera FlaÅŸ,Ana Kamera Flaş,Ana Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ana Kamera Çözünürlük Aralığı,Arka Kamera SayÄ±sÄ±,Arka Kamera Sayısı,ArttÄ±rÄ±labilir HafÄ±za (HafÄ±za KartÄ± DesteÄŸi),Arttırılabilir Hafıza (Hafıza Kartı Desteği),Ağırlık,Batarya Kapasitesi AralÄ±ÄŸÄ±,Batarya Kapasitesi Aralığı,BaÄŸlantÄ±lar,Bağlantılar,Bluetooth,CPU AralÄ±k,CPU Aralık,Cep Telefonu Modeli,Dahili HafÄ±za,Dahili Hafıza,Dokunmatik Ekran,Ekran Boyut AralÄ±ÄŸÄ±,Ekran Boyut Aralığı,Ekran Boyutu,Ekran Boyutu Aralığı,Ekran Cinsi,Ekran Teknolojisi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ekran Çözünürlüğü,GPS,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¶rÃ¼ntÃ¼ Teknolojisi,GÃ¶rÃ¼ntÃ¼lÃ¼ KonuÅŸma,Görüntü Teknolojisi,Görüntülü Konuşma,Kablosuz Åžarj,Kablosuz Şarj,Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Kamera Çözünürlüğü,Kozmetik Durum,KulaklÄ±k GiriÅŸi,Kulaklık Girişi,Mobil BaÄŸlantÄ± HÄ±zÄ±,Mobil Bağlantı Hızı,NFC,Parmak Ä°zi Okuyucu,Parmak İzi Okuyucu,Pil GÃ¼cÃ¼ (mAh),Pil Gücü (mAh),RAM Kapasitesi,Radio,Renk,Suya/Toza DayanÄ±klÄ±lÄ±k,Suya/Toza Dayanıklılık,Video KayÄ±t Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Video Kayıt Çözünürlüğü,YÃ¼z TanÄ±ma,Yüz Tanıma,Ã–n Kamera FlaÅŸ,Ã–n Kamera SayÄ±sÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ã‡ift Hat,Ä°ÅŸlemci MarkasÄ±,Ä°ÅŸletim Sistemi,Åžarj GiriÅŸi,Åžarj HÄ±zÄ±,Çift Hat,Ön Kamera Flaş,Ön Kamera Sayısı,Ön Kamera Çözünürlük Aralığı,Ön Kamera Çözünürlüğü,İşlemci Markası,İşletim Sistemi,Şarj Girişi,Şarj Hızı,url,price,brands
,Var,,20 - 40 MP,,3,,Var,,,5000-6000 mAh,,,Var,,,,,128 GB,Var,,6.5'' - 7'',6 - 8 inç,,IPS LCD,FHD+,,90 Hz,,FHD+,,,2 Yıl,Xiaomi Türkiye Garantili,,,LCD,Var,,Yok,,50 MP + 8 MP + 2 MP,,,USB Type-C,,4.5G,Yok,,Var,,5000,8 GB,,Siyah,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,5 - 10 MP,8 MP,MediaTek,Android,USB Type-C,10-20 W,https://www.trendyol.com//xiaomi/redmi-12-128-gb-8-gb-ram-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-770302563,7.549 TL,Xiaomi
Var,,10 - 15 MP,,2,,Yok,,,2000-3000 mAh,,Wi-Fi,,Var,2.5-3.2 GHz,,iPhone 12,128 GB,,Var,6'' - 6.5'',,"6,1 inÃ§",,OLED,FHD+,60 Hz,,FHD+,,Var,2 YÄ±l,,Apple TÃ¼rkiye Garantili,OLED,Var,,,Var,,10 - 15 MP,,,Lightning,,4.5G,,Var,Yok,,2815,,4 GB,Yok,Mor,Var,,2160p (Ultra HD) 4K,,Var,,Yok,1,10 - 15 MP,8 - 14 MP,Yok,Apple,iOS,Lightning,10-20 W,,,,,,,,,,https://www.trendyol.com//apple/iphone-12-128-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-103752856?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4wNjU4NDg2MjU0ODg1NzkyOCwiYWRTY29yZSI6MC4wMzUyMTMxNjg3MTA0NzAyLCJhZFNjb3JlcyI6eyIxIjowLjAzNTIxMzE2ODcxMDQ3MDIsIjIiOjAuMDM1MjEzMTY4NzEwNDcwMn0sImNwYyI6MS44NywibWluQ3BjIjowLCJlQ3BjIjoxLjgwNzU2MDE5NDcwNzE0MiwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjExLCJhdHRyaWJ1dGVzIjoiIn0=,28.299 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//reeder/s19-max-pro-4gb-128-gb-altin-cep-telefonu-reeder-turkiye-garantili-p-411319447,3.029 TL,Reeder
,Var,,40 - 60 MP,,2,,Var,,,3000-3500 mAh,,USB,Var,,2.0-2.5 GHz,iPhone 15,,128 GB,Var,,6'' - 6.5'',"6,1 inç",,FHD Süper AMOLED,FHD+,,144 Hz üstü,,FHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,LCD,Var,,Yok,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Var,,3000 - 4000,6 GB,Yok,Mavi,,Var,,4320p (Ultra HD) 8K,,Var,,,,,,,,,,Var,Yok,1,10 - 15 MP,12 MP,Apple,iOS,USB Type-C,10-20 W,https://www.trendyol.com//apple/iphone-15-128-gb-mavi-p-762254881?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4wNjI5NDU2NTk3OTM5MTMzNywiYWRTY29yZSI6MC4wMzM2NjA3ODA2Mzg0NTYzNDUsImFkU2NvcmVzIjp7IjEiOjAuMDMzNjYwNzgwNjM4NDU2MzQ1LCIyIjowLjAzMzY2MDc4MDYzODQ1NjM0NX0sImNwYyI6MS44NywibWluQ3BjIjowLCJlQ3BjIjoxLjg2NDIyMTMyMjYyNTAzMTUsImFkdmVydFNsb3QiOjgsIm9yZGVyIjoxMywiYXR0cmlidXRlcyI6IiJ9,50.999 TL,Apple
Var,,40 - 60 MP,,3,,Var,,,5000-6000 mAh,,,,Var,1.5-2.0 GHz,,Reeder S19 Max Pro,128 GB,,Var,6'' - 6.5'',,"6,7 inÃ§",,LCD,HD+,60 Hz,,HD+,,Yok,2 YÄ±l,,Genpa Garantili,LCD,Var,,,Yok,,5 - 10 MP,,,3.5 mm,,4.5G,,Yok,Yok,,5000 ve Ã¼stÃ¼,,4 GB,Var,Mavi,Yok,,720p (HD),,Yok,,Yok,1,40 - 60 MP,14 - 20 MP,Var,,Android,USB Type-C,,,,,,,,,,,https://www.trendyol.com//reeder/s19-max-pro-4gb-128-gb-mavi-cep-telefonu-reeder-turkiye-garantili-p-411323045,3.039 TL,Reeder
,Var,,40 - 60 MP,,2,,Var,,,3000-3500 mAh,,USB,Var,,2.0-2.5 GHz,iPhone 15,,256 GB,Var,,6'' - 6.5'',"6,1 inç",,FHD Süper AMOLED,FHD+,,144 Hz üstü,,FHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,LCD,Var,,Yok,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Var,,3000 - 4000,6 GB,Yok,Siyah,,Var,,4320p (Ultra HD) 8K,,Var,,,,,,,,,,Var,Yok,1,10 - 15 MP,12 MP,Apple,iOS,USB Type-C,10-20 W,https://www.trendyol.com//apple/iphone-15-256-gb-siyah-p-762254844?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4wNjIwNzc5MjQ0MjI5MTk3NTQsImFkU2NvcmUiOjAuMDMzMTk2NzUxMDI4Mjk5MzMsImFkU2NvcmVzIjp7IjEiOjAuMDMzMTk2NzUxMDI4Mjk5MzMsIjIiOjAuMDMzMTk2NzUxMDI4Mjk5MzN9LCJjcGMiOjEuODcsIm1pbkNwYyI6MCwiZUNwYyI6MS44MjM5NDc0NjM3Nzk5NDQsImFkdmVydFNsb3QiOjksIm9yZGVyIjoxNSwiYXR0cmlidXRlcyI6IiJ9,54.499 TL,Apple
,Var,,12 MP,,2,,Var,,,4500-5000 mAh,,Wi-Fi,Var,,,Redmi Note 12,,128 GB,Var,,4.5'' - 5'',"6,6 inç",,AMOLED,FHD+,,120 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,AMOLED,,,Yok,,12 MP + 64 MP + 12 MP,,,3.5 mm,,4.5G,Yok,,Var,,4500,8 GB,Var,Gri,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Var,1,120 MP ve üstü,8 - 14 MP,,Android,USB Type-C,20-40 W,https://www.trendyol.com//xiaomi/redmi-note-12-128-gb-8-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-761831854,8.719 TL,Xiaomi
Var,,40 - 60 MP,,2,,Var,,,4000-4500 mAh,,Wi-Fi,,Var,2.0-2.5 GHz,,iPhone 15 Plus,128 GB,,Var,6'' - 6.5'',,"6,7 inÃ§",,OLED,QLED,60 Hz,,QHD+,,Var,2 YÄ±l,,Apple TÃ¼rkiye Garantili,OLED,Var,,,Yok,,20 MP ve Ã¼stÃ¼,,,USB Type-C,,5G,,Var,Var,,4000 - 5000,,6 GB,Yok,Pembe,Var,,2160p (Ultra HD) 4K,,Var,,Yok,1,40 - 60 MP,12 MP,Var,Apple,iOS,USB Type-C,80-100 W,,,,,,,,,,https://www.trendyol.com//apple/iphone-15-plus-128-gb-pembe-p-762254861?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4wNTk4ODUyMDAxNTAzMTEsImFkU2NvcmUiOjAuMDMyMDI0MTcxMjAzMzc0ODYsImFkU2NvcmVzIjp7IjEiOjAuMDMyMDI0MTcxMjAzMzc0ODYsIjIiOjAuMDMyMDI0MTcxMjAzMzc0ODZ9LCJjcGMiOjEuODcsIm1pbkNwYyI6MCwiZUNwYyI6MS43NzE2ODk5NDk1NzYzMzkyLCJhZHZlcnRTbG90IjoxMCwib3JkZXIiOjE3LCJhdHRyaWJ1dGVzIjoiIn0=,56.999 TL,Apple
,Var,,100 -120 MP,,4,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,Redmi Note 12 Pro,,256 GB,Var,,6.5'' - 7'',"6,67 inç",,AMOLED,FHD+,,120 Hz,,FHD+,Var,,2 Yıl,Xiaomi Türkiye Garantili,,,AMOLED,Var,,Yok,,108 MP + 8 MP + 2 MP,,,USB Type-C,,4.5G,Var,,Var,,5000,8 GB,Var,Gri,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,15 - 20 MP,16 MP,MediaTek,Android,USB Type-C,60-80 W,https://www.trendyol.com//xiaomi/redmi-note-12-pro-256-gb-8-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-685539438,12.369 TL,Xiaomi
,Var,,40 - 60 MP,,2,,Var,,,4000-4500 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,iPhone 15 Plus,,256 GB,Var,,6'' - 6.5'',"6,7 inç",,OLED,QLED,,60 Hz,,QHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Yok,,20 MP ve üstü,,,USB Type-C,,5G,Var,,Var,,4000 - 5000,6 GB,Yok,Pembe,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Yok,1,40 - 60 MP,12 MP,Apple,iOS,USB Type-C,80-100 W,https://www.trendyol.com//apple/iphone-15-plus-256-gb-pembe-p-762254868?advertItems=eyJhZHZlcnRJZCI6ImYxZGFkYzdiLTQ1YTItNDQwZS04NTRiLTIxMzAzNDcxNDVkNSIsInNvcnRpbmdTY29yZSI6MC4wNTYwOTY0MTQ1ODgzOTE3ODQsImFkU2NvcmUiOjAuMDI5OTk4MDgyNjY3NTg5MTg4LCJhZFNjb3JlcyI6eyIxIjowLjAyOTk5ODA4MjY2NzU4OTE4OCwiMiI6MC4wMjk5OTgwODI2Njc1ODkxODh9LCJjcGMiOjEuODcsIm1pbkNwYyI6MCwiZUNwYyI6MS44Njg0MTEwMTA3OTY3ODAyLCJhZHZlcnRTbG90IjoxMSwib3JkZXIiOjE5LCJhdHRyaWJ1dGVzIjoiIn0=,60.999 TL,Apple
,,,60 - 80 MP,,2,,,,,4500-5000 mAh,,,,,,,,128 GB,Var,,6.5'' - 7'',"6,7 inç",,,,,,,,,,2 Yıl,Realme Türkiye Garantili,,,,,,,,50 MP,,,3.5 mm,,4.5G,Var,,,,4000 - 5000,4 GB,,Siyah,,Yok,,,,,,,,,,,,,,Var,,1,60 - 80 MP,,,Android,USB Type-C,,https://www.trendyol.com//realme/c53-128-gb-4-gb-ram-siyah-cep-telefonu-realme-turkiye-garantili-p-744329842,5.349 TL,realme
,,100 -120 MP,,3,,,,,5000-6000 mAh,,,,,,,,256 GB,,Var,6.5'' - 7'',,"6,7 inÃ§",,,,,,,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,,,,,,20 MP ve Ã¼stÃ¼,,,3.5 mm,,5G,,Var,,,5000 ve Ã¼stÃ¼,,8 GB,,Mavi,Var,,,,,,,1,15 - 20 MP,,Var,,Android,USB Type-C,,,,,,,,,,,https://www.trendyol.com//poco/x5-pro-5g-256-gb-8-gb-ram-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-744803690?advertItems=eyJhZHZlcnRJZCI6Ijc3NzgxNzA2LTc4NDgtNDVkYS04ODM2LTYyMTJiZWNlNDNkNyIsInNvcnRpbmdTY29yZSI6MC4wNTU0NDg3ODc4MDQ2OTI5OSwiYWRTY29yZSI6MC4wMzIxMDY5OTkzMDc4NzA4NjUsImFkU2NvcmVzIjp7IjEiOjAuMDMyMTA2OTk5MzA3ODcwODY1LCIyIjowLjAzMjEwNjk5OTMwNzg3MDg2NX0sImNwYyI6MS43MjcwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAsImVDcGMiOjEuNzI3MDAwMDAwMDAwMDAwMywiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMSwiYXR0cmlidXRlcyI6IiJ9,15.099 TL,POCO
